pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
150,v,14,1,57,1,,,,,164.63528210000368,,164.6206560999999,164.63528210000368,165.63514899999427,165.63514899999427,165.63514899999427,165.63514899999427,165.63514899999427,166.63439249999647,166.63439249999647,167.4681394000072,v,1,0.8264593000058085,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,14,2,58,2,,,,,167.48378260000027,,167.46920110000065,167.48378260000027,168.48340300000564,168.48340300000564,168.48340300000564,168.48340300000564,168.48340300000564,169.48274160000437,169.48274160000437,170.1833023000072,c,1,0.6922109000006458,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,14,3,59,3,,,,,170.1984025999991,,170.18413110000256,170.1984025999991,171.19804420000582,171.19804420000582,171.19804420000582,171.19804420000582,171.19804420000582,172.19737500000338,172.19737500000338,172.9982403000031,z,1,0.7859103999944637,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,15,0,60,0,,,,,173.0131978999998,,172.99903979999362,173.0131978999998,174.01354670000728,174.01354670000728,174.01354670000728,174.01354670000728,174.01354670000728,175.01257429999532,175.01257429999532,175.8464246000076,x,1,0.831697500005248,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,15,1,61,1,,,,,175.86147360000177,,175.84714660000463,175.86147360000177,176.86132739999448,176.86132739999448,176.86132739999448,176.86132739999448,176.86132739999448,177.86057069999515,177.86057069999515,178.74386450000748,v,1,0.8714607000001706,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,15,2,62,2,,,,,178.7595536000008,,178.74465940000664,178.7595536000008,179.74308670000755,179.74308670000755,179.74308670000755,179.74308670000755,179.75975359999575,180.75854670000263,180.75854670000263,181.7089896999969,c,1,0.9386980999988737,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,15,3,63,3,,,,,181.72447580000153,,181.70976209999935,181.72447580000153,182.72445520000474,182.72445520000474,182.72445520000474,182.72445520000474,182.72445520000474,183.72351999999955,183.72351999999955,184.5407583000051,z,1,0.8103417999955127,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,16,0,64,0,,,,,184.55588509999507,,184.54159829999844,184.55588509999507,185.55632170000172,185.55632170000172,185.55632170000172,185.55632170000172,185.55632170000172,186.55498980000266,186.55498980000266,187.37243849999504,x,1,0.8109401999972761,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,16,1,65,1,,,,,187.38724199999706,,187.37345640000422,187.38724199999706,188.3876248000015,188.3876248000015,188.3876248000015,188.3876248000015,188.3876248000015,189.38656790000095,189.38656790000095,190.08724190000794,v,1,0.6890807000017958,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,16,2,66,2,,,,,190.10248000000138,,190.08804750000127,190.10248000000138,191.10242979999748,191.10242979999748,191.10242979999748,191.10242979999748,191.10242979999748,192.1013438999944,192.1013438999944,192.85324440000113,c,1,0.7415868000098271,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,16,3,67,3,,,,,192.86806370000704,,192.85411319999548,192.86806370000704,193.86690670000098,193.86690670000098,193.86690670000098,193.86690670000098,193.86690670000098,194.8660486000008,194.8660486000008,195.58375200000592,z,1,0.7096637000067858,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,17,0,68,0,,,,,195.599046000003,,195.58445900000515,195.599046000003,196.5989993999974,196.5989993999974,196.5989993999974,196.5989993999974,196.5989993999974,197.59806279999611,197.59806279999611,198.2820939999947,x,1,0.6710699999966891,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,17,1,69,1,,,,,198.29743239999516,,198.28289329999825,198.29743239999516,199.29850059999444,199.29850059999444,199.29850059999444,199.29850059999444,199.29850059999444,200.29607830000168,200.29607830000168,201.03053469999577,v,1,0.7323940999922343,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
50,c,17,2,70,2,,,,,201.0459489000059,,201.0313593000028,201.0459489000059,202.04568039999867,202.04568039999867,202.04568039999867,202.04568039999867,202.04568039999867,203.0444598000031,203.0444598000031,203.72868679999374,c,1,0.6826945999928284,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-150,z,17,3,71,3,,,,,203.74389789999987,,203.7294580000016,203.74389789999987,204.74403640000673,204.74403640000673,204.74403640000673,204.74403640000673,204.74403640000673,205.74265339999693,205.74265339999693,206.41012590000173,z,1,0.6628002999932505,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
-50,x,18,0,72,0,,,,,206.425413200006,,206.4110107000015,206.425413200006,207.42574380000588,207.42574380000588,207.42574380000588,207.42574380000588,207.42574380000588,208.42460139999457,208.42460139999457,209.57442610000726,x,1,1.1353994999954011,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
150,v,18,1,73,1,,,,,209.59054540000216,,209.5751639999944,209.59054540000216,210.5731350999995,210.5731350999995,210.5731350999995,210.5731350999995,210.5904765000014,211.58969170000637,211.58969170000637,212.4226239999989,v,1,0.8308604000048945,None,760188,001,2024-10-17_11h49.05.642,sequential _learning,2024.1.5,None,2024-10-17 11h49.14.939329 +0530,
