trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
17,0,17,0,34.16836160002276,,34.15508660001797,34.16836160002276,35.16761720000068,35.18334070002311,35.8856497000088,down,1,0.7153697999892756,None,-3,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
18,0,18,0,35.90022080001654,,35.88768290000735,35.90022080001654,36.90023510000901,36.90023510000901,37.718215800006874,down,1,0.8116044999915175,None,1,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
19,0,19,0,37.73225010000169,,37.71921070001554,37.73225010000169,38.73142580001149,38.73142580001149,39.76704810000956,down,0,1.01879070000723,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
20,0,20,0,39.781514200003585,,39.76804260001518,39.781514200003585,40.779998300014995,40.779998300014995,41.41553019999992,up,1,0.6247483000042848,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
21,0,21,0,41.43010500000673,,41.41685680000228,41.43010500000673,42.42943570000352,42.42943570000352,43.346908600011375,down,1,0.908684699999867,None,-3,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
22,0,22,0,43.36201580002671,,43.34895380001399,43.36201580002671,44.36162130002049,44.36162130002049,45.099789200001396,up,1,0.7322737000067718,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
23,0,23,0,45.11220100001083,,45.101476100011496,45.11220100001083,46.11013510002522,46.12682090001181,46.79597870001453,down,1,0.6776139999856241,None,2,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
24,0,24,0,46.80986060001305,,46.797012499999255,46.80986060001305,47.808842500002356,47.808842500002356,48.39636800001608,up,0,0.5858269000018481,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
25,0,25,0,48.40908300000592,,48.39798249999876,48.40908300000592,49.40846420000889,49.40846420000889,50.177056300017284,up,1,0.7536841999972239,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
26,0,26,0,50.19114239999908,,50.17839910002658,50.19114239999908,51.19064590000198,51.19064590000198,51.809255900006974,down,1,0.6126798999903258,None,-5,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
27,0,27,0,51.823187200003304,,51.810281000012765,51.823187200003304,52.822311900003115,52.822311900003115,53.45867130000261,up,1,0.6221090000180993,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
28,0,28,0,53.47255910001695,,53.45967110001948,53.47255910001695,54.471359200018924,54.471359200018924,55.20720699999947,down,0,0.726881799986586,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
29,0,29,0,55.22066920000361,,55.20820960000856,55.22066920000361,56.220162200013874,56.220162200013874,56.93959480000194,down,1,0.7155599000107031,None,3,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
30,0,30,0,56.95323390001431,,56.940579300018726,56.95323390001431,57.95260450002388,57.95260450002388,58.63840510000591,up,1,0.6786379000113811,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
31,0,31,0,58.652567200013436,,58.6393927000172,58.652567200013436,59.65157630000613,59.65157630000613,60.78749770001741,down,0,1.1300193999777548,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
32,0,32,0,60.80532460001996,,60.788813500024844,60.80532460001996,61.800917200016556,61.81614150002133,62.45381260002614,up,1,0.6475098000082653,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
33,0,33,0,62.46704160000081,,62.45484680001391,62.46704160000081,63.46597940000356,63.46597940000356,64.23598520000814,up,0,0.7594297000032384,None,-1,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
34,0,34,0,64.2489972000185,,64.23744240001542,64.2489972000185,65.24772780001513,65.24772780001513,65.88679150000098,down,1,0.6290938000020105,None,2,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
35,0,35,0,65.89886980000301,,65.88908140000422,65.89886980000301,66.89775329999975,66.89775329999975,69.39835190001759,up,1,2.48879040000611,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
36,0,36,0,69.41322610000498,,69.39993030001642,69.41322610000498,70.41184460002114,70.42780900001526,71.28305910000927,down,1,0.8600113000138663,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
37,0,37,0,71.29469080001581,,71.28498250001576,71.29469080001581,72.29395089999889,72.29395089999889,72.87916920002317,up,1,0.5768808999855537,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
38,0,38,0,72.89340520001133,,72.88025070002186,72.89340520001133,73.89279750001151,73.89279750001151,74.56171190002351,down,1,0.6590247999993153,None,2,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
39,0,39,0,74.57525590001023,,74.56287940000766,74.57525590001023,75.57467030000407,75.57467030000407,76.34359370000311,up,1,0.7527879999834113,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
40,0,40,0,76.35756850001053,,76.34461810000357,76.35756850001053,77.35741200001212,77.35741200001212,78.06295420002425,up,0,0.7000686000101268,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
41,0,41,0,78.07370970002376,,78.06543909999891,78.07370970002376,79.07264650001889,79.07264650001889,79.70719120002468,down,1,0.6279638999840245,None,-4,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
42,0,42,0,79.72260780000943,,79.70819090001169,79.72260780000943,80.72164709999925,80.72164709999925,81.1403091000102,up,1,0.407322999992175,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
43,0,43,0,81.15456100000301,,81.14136350000626,81.15456100000301,82.15385329999845,82.15385329999845,82.70843670002068,down,1,0.5515481000184081,None,3,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
44,0,44,0,82.720177900017,,82.7097044000111,82.720177900017,83.71999250000226,83.71999250000226,84.17228830000386,up,1,0.44563810000545345,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
45,0,45,0,84.18606180002098,,84.17347810001229,84.18606180002098,85.18573850000394,85.18573850000394,86.05578830000013,up,1,0.8686540999915451,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
46,0,46,0,86.06798200000776,,86.05708660001983,86.06798200000776,87.06789960002061,87.06789960002061,87.88651470001787,down,0,0.8053473000181839,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
47,0,47,0,87.90016879999894,,87.88761650002562,87.90016879999894,88.89982260001125,88.89982260001125,89.35251320002135,up,1,0.44666159999906085,None,0,845242,001,2024-09-14_08h42.53.712,signal detection task,2024.1.5,None,2024-09-14 08h42.59.221761 +0530,
