stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,2,20.0,10.432521599985193,,10.418360200012103,10.432521599985193,10.932672899973113,10.932672899973113,10.932672899973113,11.232533400005195,11.699960099998862,right,20.0,0,0,0.7587048999848776,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
11,2,20.0,11.714932599978056,,11.700052500003949,11.714932599978056,12.215152400021907,12.215152400021907,12.215152400021907,12.515790199977346,12.782033000024967,right,20.0,0,0,0.5591366000007838,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
12,2,20.0,12.796914300008211,,12.782115900015924,12.796914300008211,13.296910499979276,13.296910499979276,13.296910499979276,13.596890999993775,13.697157400019933,right,20.0,0,0,0.3846353000262752,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
13,2,20.0,13.713554300018586,,13.697227799973916,13.713554300018586,14.197315700002946,14.197315700002946,14.21301459998358,14.496310900023673,14.64633399999002,left,-20.0,0,0,0.4393532000249252,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
14,2,20.0,14.663189699989744,,14.646407799969893,14.663189699989744,15.145838399999775,15.145838399999775,15.162050799990539,15.445601799990982,15.56321689998731,left,-20.0,0,0,0.40588879998540506,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
15,2,20.0,15.578978099976666,,15.563282100018114,15.578978099976666,16.078572699974757,16.078572699974757,16.078572699974757,16.37917730002664,16.613176400016528,left,-20.0,0,0,0.525369499984663,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
16,1,20.0,16.627905800007284,,16.613252100010868,16.627905800007284,17.12873739999486,17.12873739999486,17.12873739999486,17.427309999999125,17.47928570001386,left,-20.0,1,1,0.3439595999661833,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
17,1,19.0,17.494293200026732,,17.479361800011247,17.494293200026732,17.994641299999785,17.994641299999785,17.994641299999785,18.29353089997312,18.594491800002288,left,-19.0,0,0,0.5854131999658421,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
18,1,20.0,18.609975799976382,,18.594552399998065,18.609975799976382,19.092884699988645,19.092884699988645,19.112071399984416,19.393702599976677,19.62777979997918,left,-20.0,0,0,0.5203815000131726,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
19,1,20.0,19.642647499975283,,19.627854000020307,19.642647499975283,20.14310879999539,20.14310879999539,20.14310879999539,20.44218999997247,20.610974000010174,right,20.0,0,0,0.45082169998204336,026472,001,2024-09-06_12h44.31.751,adaptive_staircasepsy,2024.1.5,None,2024-09-06 12h44.36.123286 +0530,
